area_alph,area,Mean.totalDensity,Median.totalDensity,SD.totalDensity,lower95,upper95,year.numb,year,N.obs.Area,Species,oldArea
A,1,39.57715754,39.09187222,7.246563206,26.99002455,54.40847815,1,1984,2091,Atheresthes.stomias,1
A,1,45.6198599,45.15701025,7.33413433,32.84020062,61.91224781,2,1987,2091,Atheresthes.stomias,1
A,1,108.1169761,106.0428636,18.68431899,76.78028828,149.2075888,3,1990,2091,Atheresthes.stomias,1
A,1,76.04855766,74.60893803,13.86451275,53.77539044,107.2353714,4,1993,2091,Atheresthes.stomias,1
A,1,69.69154502,68.63147493,12.41055495,49.69267321,98.62083678,5,1996,2091,Atheresthes.stomias,1
A,1,58.07250008,55.70278543,14.75816536,34.1896559,89.92453658,6,1999,2091,Atheresthes.stomias,1
A,1,100.812593,95.67176814,27.33653487,57.8023913,162.3915185,7,2001,2091,Atheresthes.stomias,1
A,1,54.44583884,53.06354619,13.1872228,32.81520828,85.14447379,8,2003,2091,Atheresthes.stomias,1
A,1,74.53183942,73.13930549,17.77383223,45.42567357,114.0457271,9,2005,2091,Atheresthes.stomias,1
A,1,68.81071193,66.81483655,17.15453738,42.24185534,105.194504,10,2007,2091,Atheresthes.stomias,1
A,1,49.34933293,48.78965182,7.984556625,36.01106709,66.92248747,11,2009,2091,Atheresthes.stomias,1
A,1,39.565444,38.85412559,7.513720065,27.08271698,56.81603865,12,2011,2091,Atheresthes.stomias,1
A,1,21.32814498,20.52563033,4.700184316,13.76803997,32.17507887,13,2013,2091,Atheresthes.stomias,1
A,1,31.61629273,31.20312864,5.653068991,22.22082726,45.19964703,14,2015,2091,Atheresthes.stomias,1
A,1,14.41857391,14.27894786,1.926403994,11.02600444,18.67289174,1,1984,2091,Hippoglossus.stenolepis,1
A,1,19.14189276,18.93764392,2.389586329,15.08450752,24.36468062,2,1987,2091,Hippoglossus.stenolepis,1
A,1,16.25431376,16.01236564,2.255696099,12.47946592,21.24325701,3,1990,2091,Hippoglossus.stenolepis,1
A,1,16.07377766,15.93450677,2.037242973,12.5083163,20.74379991,4,1993,2091,Hippoglossus.stenolepis,1
A,1,21.05297386,20.88411198,2.579470654,16.51993955,26.48310337,5,1996,2091,Hippoglossus.stenolepis,1
