"area","Mean.avgPresence","Median.avgPresence","SD.totalPresence","lower95","upper95","year.numb","N.obs.Area","Species"
"1",0.853659692287084,0.859035417869718,0.0388118970338046,0.761516171842852,0.91327204947619,1,"2091","Atheresthes.stomias"
"1",0.879387218950113,0.884436810762844,0.0336398496685807,0.800554740119708,0.930126523499854,2,"2091","Atheresthes.stomias"
"1",0.867944556138414,0.872275988539036,0.0364842428648258,0.784102396142107,0.926039668794484,3,"2091","Atheresthes.stomias"
"1",0.901449283423899,0.905241870602984,0.0275660718789245,0.837818635424465,0.94412850732839,4,"2091","Atheresthes.stomias"
"1",0.909001066586778,0.911684655914491,0.0254973693615049,0.849755517705784,0.948342868230351,5,"2091","Atheresthes.stomias"
"1",0.955338469816148,0.958069464766991,0.0163338542117177,0.914621275629856,0.978337451588162,6,"2091","Atheresthes.stomias"
"1",0.931445917988633,0.935197320303075,0.0222344532702705,0.878972804544611,0.965684840151093,7,"2091","Atheresthes.stomias"
"1",0.911877740221388,0.915258754743958,0.0248765474798813,0.852580683762797,0.950255478032439,8,"2091","Atheresthes.stomias"
"1",0.942776239390634,0.945710958443342,0.0184216237362437,0.896841359191438,0.969147669531994,9,"2091","Atheresthes.stomias"
"1",0.911000161357461,0.913968433726198,0.0246367022467125,0.855729584820644,0.94837989532915,10,"2091","Atheresthes.stomias"
"1",0.963309459400754,0.965597932994328,0.0132412567234568,0.932860464922722,0.983646768591272,11,"2091","Atheresthes.stomias"
"1",0.964836643813192,0.967387570474668,0.014182598584018,0.930067750291831,0.985110778102856,12,"2091","Atheresthes.stomias"
"1",0.950857497343369,0.954164810926531,0.0184243905369744,0.90720334997339,0.977376259269727,13,"2091","Atheresthes.stomias"
"1",0.937497090686941,0.941459314944197,0.0232854892588018,0.88090315475071,0.97178539635893,14,"2091","Atheresthes.stomias"
"10",0.913901483035656,0.919065327360408,0.0328366371738803,0.835925770470332,0.964292873820516,1,"933","Atheresthes.stomias"
"10",0.900477818868506,0.904641492033539,0.0332587494631465,0.829760837348007,0.951794820590326,2,"933","Atheresthes.stomias"
"10",0.877418764978799,0.881751060813334,0.0380027184454066,0.794829359641642,0.94110316146225,3,"933","Atheresthes.stomias"
"10",0.921856540893172,0.925552133724839,0.0279555545353848,0.858249977586848,0.965605398409077,4,"933","Atheresthes.stomias"
"10",0.931894250105692,0.935141715470002,0.0251352461662134,0.874317459019335,0.969417892210223,5,"933","Atheresthes.stomias"
"10",0.914119351880855,0.9166049985578,0.0273221200691476,0.852588339370819,0.959007795681954,6,"933","Atheresthes.stomias"
"10",0.93367413482041,0.936107476039776,0.0254104522221018,0.878754693583127,0.974943835538947,7,"933","Atheresthes.stomias"
"10",0.941636151738049,0.945390278437836,0.0262166287867555,0.880082582301861,0.980463674042549,8,"933","Atheresthes.stomias"
"10",0.941646571800929,0.945531699113574,0.0256871720127926,0.880928315318117,0.978055438985176,9,"933","Atheresthes.stomias"
