"area","Mean.avgPresence","Median.avgPresence","SD.totalPresence","lower95","upper95","year.numb","N.obs.Area","Species"
"1",0.952818357340598,0.954369694749328,0.0136448831833862,0.920678038506052,0.975204438449256,1,"1722","Atheresthes.stomias"
"1",0.963619821548047,0.96501036556037,0.0113455102210002,0.937776486484848,0.980989087681846,2,"1722","Atheresthes.stomias"
"1",0.964094152658405,0.96614840249433,0.0126373189135308,0.93380003689691,0.983008590333707,3,"1722","Atheresthes.stomias"
"1",0.976020523311671,0.977829483425251,0.00897531855223327,0.954473894756202,0.98895555664099,4,"1722","Atheresthes.stomias"
"1",0.979753558909871,0.981099365604177,0.0074266431198444,0.962626947482751,0.990295479420019,5,"1722","Atheresthes.stomias"
"1",0.990499983428041,0.991219343093918,0.00413430986434691,0.980442362640554,0.996225379127604,6,"1722","Atheresthes.stomias"
"1",0.986208865569682,0.987162675225357,0.0054522039944367,0.973422830503525,0.993882859921101,7,"1722","Atheresthes.stomias"
"1",0.981879952843454,0.983296297856804,0.00697220749290025,0.965204197434977,0.9915923245474,8,"1722","Atheresthes.stomias"
"1",0.98993918060873,0.990778075134926,0.00447110491455579,0.979567500115628,0.996012806509053,9,"1722","Atheresthes.stomias"
"1",0.980354919410046,0.981657430013602,0.00759962139890009,0.961498122779108,0.99082002097854,10,"1722","Atheresthes.stomias"
"1",0.992120762608064,0.992813856717944,0.00341551062447658,0.983957681442759,0.996706250686038,11,"1722","Atheresthes.stomias"
"1",0.993995306781781,0.994536903054256,0.00280082137549694,0.98744631070228,0.997597660394623,12,"1722","Atheresthes.stomias"
"1",0.992683207041581,0.99334588234525,0.00370694067818159,0.983762371895195,0.997498313713096,13,"1722","Atheresthes.stomias"
"1",0.990128331227513,0.991098970576086,0.0052234566979851,0.978503790484751,0.996583287336579,14,"1722","Atheresthes.stomias"
"2",0.966935632846966,0.968473565303186,0.010670495214761,0.94136677218157,0.982471997007895,1,"1255","Atheresthes.stomias"
"2",0.97449561017204,0.97614064907965,0.00888116755022688,0.952443534667212,0.987496129170726,2,"1255","Atheresthes.stomias"
"2",0.970545252194151,0.972152003509472,0.0111193699985068,0.945671753017855,0.986223474932183,3,"1255","Atheresthes.stomias"
"2",0.975299621006721,0.976188866505311,0.00790299900298419,0.956042862810044,0.986748088498218,4,"1255","Atheresthes.stomias"
"2",0.976790372308321,0.977909465085087,0.00761816417599139,0.959976175551584,0.988072383088441,5,"1255","Atheresthes.stomias"
"2",0.98585023445432,0.986652598512577,0.00462994168530459,0.973826630020063,0.992856482116843,6,"1255","Atheresthes.stomias"
"2",0.979215234767773,0.980429021829271,0.00698057636317029,0.962651519707788,0.989671848687181,7,"1255","Atheresthes.stomias"
"2",0.971359742524272,0.973240298130957,0.00918133203280313,0.949911880268809,0.985095321046894,8,"1255","Atheresthes.stomias"
"2",0.982159486447886,0.983246239125734,0.00637788543934591,0.966699528529755,0.991255782040366,9,"1255","Atheresthes.stomias"
"2",0.972017000956003,0.973574272533927,0.009411883379544,0.947813977603142,0.985117791213368,10,"1255","Atheresthes.stomias"
"2",0.989908814188933,0.99056832178374,0.00392025577872874,0.980681314402261,0.995401620940981,11,"1255","Atheresthes.stomias"
"2",0.987933623064981,0.98869593181095,0.00469238760723229,0.976806370272115,0.99456374876548,12,"1255","Atheresthes.stomias"
"2",0.981234518102964,0.982418144616627,0.00744910252131018,0.964723267111313,0.99123843458644,13,"1255","Atheresthes.stomias"
