"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area"
111981,-146.02928,60.29554,218.879622935398,6166.5722530378,1,-44,-54,1
111982,-145.99324,60.2934,220.877940064854,6166.44772289412,1,-46,-53,1
111983,-145.95721,60.29124,222.876249012218,6166.3231531523,1,-48,-52,1
111984,-145.92118,60.28908,224.874549754316,6166.198543802,1,-53,-59,1
111985,-145.88515,60.2869,226.872842268031,6166.07389483277,1,-46,-53,1
111766,-146.14171,60.28416,212.759447453861,6164.95172114541,1,-50,-53,1
111767,-146.10568,60.28205,214.757746497217,6164.82730678674,1,-46,-60,1
111768,-146.06965,60.27992,216.756037449255,6164.70285283857,1,-44,-66,1
111769,-146.03362,60.27779,218.754320286737,6164.57835929071,1,-45,-66,1
111770,-145.9976,60.27564,220.752594986483,6164.4538261329,1,-57,-72,1
111771,-145.96159,60.27349,222.750861525359,6164.32925335487,1,-64,-74,1
111772,-145.92558,60.27133,224.749119880285,6164.20464094625,1,-71,-74,1
111773,-145.88957,60.26915,226.74737002823,6164.07998889669,1,-69,-77,1
111774,-145.85357,60.26697,228.745611946217,6163.95529719574,1,-60,-70,1
111775,-145.81757,60.26478,230.743845611319,6163.83056583298,1,-66,-62,1
111776,-145.78158,60.26257,232.742071000662,6163.70579479788,1,-61,-67,1
111777,-145.74559,60.26036,234.740288091427,6163.58098407988,1,-48,-58,1
111778,-145.70961,60.25814,236.738496860837,6163.4561336684,1,-58,-52,1
111779,-145.67364,60.25591,238.73669728618,6163.33124355283,1,-58,-51,1
111551,-146.25407,60.27269,206.63946686796,6163.33080762059,1,-46,-50,1
111552,-146.21804,60.27061,208.637747556477,6163.20650910657,1,-47,-51,1
111553,-146.18202,60.26851,210.636020244305,6163.08217101111,1,-54,-61,1
111554,-146.146,60.26641,212.634284908148,6162.95779332418,1,-69,-71,1
111555,-146.10998,60.26429,214.632541524753,6162.83337603571,1,-55,-73,1
111556,-146.07397,60.26217,216.630790070935,6162.70891913558,1,-58,-87,1
111557,-146.03796,60.26003,218.629030523542,6162.58442261363,1,-65,-84,1
111558,-146.00196,60.25789,220.627262859484,6162.45988645965,1,-90,-86,1
111559,-145.96597,60.25574,222.625487055714,6162.33531066341,1,-82,-93,1
111560,-145.92997,60.25357,224.623703089243,6162.21069521461,1,-86,-97,1
111561,-145.89399,60.2514,226.621910937127,6162.08604010293,1,-89,-95,1
111562,-145.85801,60.24922,228.620110576479,6161.96134531798,1,-90,-96,1
111563,-145.82203,60.24703,230.618301984458,6161.83661084937,1,-81,-86,1
111564,-145.78606,60.24483,232.616485138281,6161.71183668662,1,-78,-82,1
111565,-145.75009,60.24262,234.614660015211,6161.58702281924,1,-76,-90,1
111331,-146.33032,60.25907,202.517943808821,6161.58532943234,1,-45,-51,1
111566,-145.71413,60.2404,236.612826592566,6161.46216923668,1,-77,-75,1
111332,-146.2943,60.25701,204.516197965058,6161.46110725023,1,-56,-54,1
111567,-145.67817,60.23817,238.610984847721,6161.33727592838,1,-76,-65,1
111333,-146.25829,60.25493,206.514444187722,6161.3368454843,1,-59,-64,1
111334,-146.22228,60.25285,208.51268245351,6161.21254412465,1,-66,-69,1
111568,-145.64221,60.23593,240.609134758092,6161.2123428837,1,-64,-61,1
111335,-146.18627,60.25075,210.510912739167,6161.08820316133,1,-68,-72,1
111569,-145.60627,60.23368,242.60727630116,6161.08737009196,1,-49,-51,1
111336,-146.15027,60.24865,212.509135021483,6160.96382258436,1,-64,-84,1
111337,-146.11428,60.24654,214.507349277308,6160.83940238372,1,-76,-90,1
111338,-146.07829,60.24441,216.505555483531,6160.71494254934,1,-78,-93,1
